english,nepali
a,a
ability,क्षमता
able,सक्षम
about,बारेमा
above,माथि
accept,स्वीकार गर्नुहोस्
according,अनुसार
account,खाता
across,पार
act,कार्य
action,कार्य
activity,गतिविधि
actually,वास्तवमा
add,थप्नुहोस्
address,ठेगाना
administration,प्रशासन
admit,स्वीकार
adult,वयस्क
affect,असर गर्छ
after,पछि
again,फेरि
against,विरुद्ध
age,उमेर
agency,एजेन्सी
agent,एजेन्ट
ago,पहिले
agree,सहमत
agreement,सम्झौता
ahead,अगाडि
air,हावा
all,सबै
allow,अनुमति दिनुहोस्
almost,लगभग
alone,एक्लै
along,साथ
already,पहिले नै
also,पनि
although,यद्यपि
always,सधैं
American,अमेरिकी
among,बीचमा
amount,रकम
analysis,विश्लेषण
and,र
animal,जनावर
another,अर्को
answer,जवाफ
any,कुनै पनि
anyone,जो कोही
anything,केहि पनि
appear,देखा पर्छन्
apply,निवेदन गर्नु
approach,दृष्टिकोण
area,क्षेत्र
argue,तर्क
arm,हात
around,वरपर
arrive,आइपुग्छ
art,कला
article,लेख
artist,कलाकार
as,जस्तै
ask,सोध्नु
assume,मान्न
at,मा
attack,आक्रमण
attention,ध्यान
attorney,वकील
audience,दर्शक
author,लेखक
authority,अधिकार
available,उपलब्ध
avoid,जोगिन
away,टाढा
baby,बच्चा
back,फिर्ता
bad,नराम्रो
bag,झोला
ball,बल
bank,बैंक
bar,बार
base,आधार
be,हुन
beat,पिट्नु
beautiful,सुन्दर
because,किनभने
become,बन्नु
bed,ओछ्यान
before,पहिले
begin,सुरु गर्नुहोस्
behavior,व्यवहार
behind,पछाडि
believe,विश्वास
benefit,लाभ
best,सबै भन्दा राम्रो
better,राम्रो
between,बीचमा
beyond,परे
big,ठूलो
bill,बिल
billion,अरब
bit,बिट
black,कालो
blood,रगत
blue,नीलो
board,बोर्ड
body,जीउ
book,पुस्तक
born,जन्मेको
both,दुबै
box,बक्स
boy,केटा
break,ब्रेक
bring,ल्याउनुहोस्
brother,भाइ
budget,बजेट
build,निर्माण
building,भवन
business,व्यापार
but,तर
buy,किन्नुहोस्
by,द्वारा
call,कल गर्नुहोस्
camera,क्यामेरा
campaign,अभियान
can,सक्छ
cancer,क्यान्सर
candidate,उम्मेदवार
capital,पूंजी
car,कार
card,कार्ड
care,हेरचाह
career,क्यारियर
carry,बोक्ने
case,मामला
catch,समात्नुहोस्
cause,कारण
cell,सेल
center,केन्द्र
central,केन्द्रीय
century,शताब्दी
certain,निश्चित
certainly,पक्कै पनि
chair,कुर्सी
challenge,चुनौती
chance,मौका
change,परिवर्तन
character,चरित्र
charge,चार्ज
check,जाँच गर्नुहोस्
child,बच्चा
choice,छनौट
choose,छान्नुहोस्
church,चर्च
citizen,नागरिक
city,शहर
civil,नागरिक
claim,दावी
class,कक्षा
clear,स्पष्ट
clearly,स्पष्ट रूपमा
close,बन्द
coach,प्रशिक्षक
cold,चिसो
collection,सङ्कलन
college,कलेज
color,रंग
come,आउनुहोस्
commercial,व्यावसायिक
common,सामान्य
community,समुदाय
company,कम्पनी
compare,तुलना गर्नुहोस्
computer,कम्प्युटर
concern,चिन्ता
condition,अवस्था
conference,सम्मेलन
Congress,कांग्रेस
consider,विचार गर्नुहोस्
consumer,उपभोक्ता
contain,समावेश गर्नुहोस्
continue,जारी राख्नुहोस्
control,नियन्त्रण
cost,लागत
could,सक्छ
country,देश
couple,जोडी
course,पाठ्यक्रम
court,अदालत
cover,आवरण
create,सिर्जना गर्नुहोस्
crime,अपराध
cultural,सांस्कृतिक
culture,संस्कृति
cup,कप
current,वर्तमान
customer,ग्राहक
cut,काट्नु
dark,अँध्यारो
data,डाटा
daughter,छोरी
day,दिन
dead,मृत
deal,सम्झौता
death,मृत्यु
debate,बहस
decade,दशक
decide,निर्णय
decision,निर्णय
deep,गहिरो
defense,रक्षा
degree,डिग्री
Democrat,लोकतन्त्रवादी
democratic,लोकतान्त्रिक
describe,वर्णन गर्नुहोस्
design,डिजाइन
despite,बावजुद
detail,विस्तार
determine,निर्धारण गर्ने
develop,विकास
development,विकास
die,मर्नु
difference,भिन्नता
different,फरक
difficult,गाह्रो
dinner,डिनर
direction,दिशा
director,निर्देशक
discover,पत्ता लगाउनुहोस्
discuss,छलफल
discussion,छलफल
disease,रोग
do,गर्नु
doctor,डाक्टर
dog,कुकुर
door,ढोका
down,तल
draw,आकर्षित
dream,सपना
drive,ड्राइभ
drop,ड्रप
drug,औषधि
during,समयमा
each,प्रत्येक
early,प्रारम्भिक
east,पूर्व
easy,सजिलो
eat,खानु
economic,आर्थिक
economy,अर्थव्यवस्था
edge,किनारा
education,शिक्षा
effect,असर
effort,प्रयास
eight,आठ
either,या त
election,चुनाव
else,अरू
employee,कर्मचारी
end,अन्त्य
energy,ऊर्जा
enjoy,मजा लिनुहोस्
enough,पर्याप्त
enter,प्रविष्ट गर्नुहोस्
entire,सम्पूर्ण
environment,वातावरण
environmental,पर्यावरणीय
especially,विशेष गरी
establish,स्थापना
even,पनि
evening,साँझ
event,घटना
ever,कहिल्यै
every,हरेक
everybody,सबैजना
everyone,सबैजना
everything,सबै कुरा
evidence,प्रमाण
exactly,ठ्याक्कै
example,उदाहरण
executive,कार्यकारी
exist,अवस्थित छ
expect,अपेक्षा
experience,अनुभव
expert,विशेषज्ञ
explain,व्याख्या गर्नुहोस्
eye,आँखा
face,अनुहार
fact,वास्तवमा
factor,कारक
fail,असफल
fall,पतन
family,परिवार
far,टाढा
fast,छिटो
father,बुबा
fear,डर
federal,संघीय
feel,महसुस
feeling,भावना
few,थोरै
field,क्षेत्र
fight,लडाई
figure,फिगर
fill,भर्न
film,चलचित्र
final,अन्तिम
finally,अन्तमा
financial,वित्तीय
find,फेला पार्नुहोस्
fine,राम्रो
finger,औंला
finish,समाप्त
fire,आगो
firm,फर्म
first,पहिलो
fish,माछा
five,पाँच
floor,भुइँ
fly,उड्नु
focus,फोकस
follow,पछ्याउन
food,खाना
foot,खुट्टा
for,को लागी
force,बल
foreign,विदेशी
forget,बिर्सनु
form,फारम
former,पूर्व
forward,अगाडि
four,चार
free,नि:शुल्क
friend,साथी
from,बाट
front,अगाडि
full,पूर्ण
fund,कोष
future,भविष्य
game,खेल
garden,बगैचा
gas,ग्यास
general,सामान्य
generation,पुस्ता
get,प्राप्त गर्नुहोस्
girl,केटी
give,दिनु
glass,गिलास
go,जानुहोस्
goal,लक्ष्य
good,राम्रो
government,सरकार
great,महान
green,हरियो
ground,जमीन
group,समूह
grow,बढ्नु
growth,वृद्धि
guess,अनुमान
gun,बन्दुक
guy,केटा
hair,कपाल
half,आधा
hand,हात
hang,झुन्ड्याउनु
happen,हुन्छ
happy,खुशी
hard,कडा
have,छ
he,उहाँ
head,टाउको
health,स्वास्थ्य
hear,सुन्नुहोस्
heart,मुटु
heat,गर्मी
heavy,भारी
help,मद्दत
her,उनको
here,यहाँ
herself,आफैलाई
high,उच्च
him,उसलाई
himself,आफैलाई
his,उनको
history,इतिहास
hit,हिट
hold,होल्ड गर्नुहोस्
home,घर
hope,आशा
hospital,अस्पताल
hot,तातो
hotel,होटल
hour,घण्टा
house,घर
how,कसरी
however,यद्यपि
huge,विशाल
human,मानव
hundred,सय
husband,श्रीमान्
I,म
idea,विचार
identify,पहिचान
if,यदि
image,छवि
imagine,कल्पना गर्नुहोस्
impact,प्रभाव
important,महत्त्वपूर्ण
improve,सुधार
in,मा
include,समावेश गर्नुहोस्
including,सहित
increase,बढ्नु
indeed,वास्तवमा
indicate,संकेत गर्नुहोस्
individual,व्यक्तिगत
industry,उद्योग
information,जानकारी
inside,भित्र
instead,सट्टा
institution,संस्था
interest,ब्याज
interesting,रोचक
international,अन्तर्राष्ट्रिय
interview,अन्तर्वार्ता
into,मा
investment,लगानी
involve,समावेश
issue,मुद्दा
it,यो
item,वस्तु
its,यसको
itself,आफै
job,काम
join,सामेल हुनुहोस्
just,मात्र
keep,राख्न
key,कुञ्जी
kid,बच्चा
kill,मार्नु
kind,प्रकारको
kitchen,भान्सा
know,चिन्छु
knowledge,ज्ञान
land,भूमि
language,भाषा
large,ठूलो
last,अन्तिम
late,ढिलो
later,पछि
laugh,हाँस्न
law,कानुन
lawyer,वकिल
lay,बिछ्याउनु
lead,नेतृत्व
leader,नेता
learn,सिक्नुहोस्
least,कम्तिमा
leave,छोड
left,बायाँ
leg,खुट्टा
legal,कानूनी
less,थोरै
let,दिनुहोस्
letter,पत्र
level,स्तर
lie,झूट
life,जीवन
light,प्रकाश
like,जस्तै
likely,सम्भावना
line,रेखा
list,सूची
listen,सुन्नुहोस्
little,सानो
live,लाइभ
local,स्थानिय
long,लामो
look,हेर
lose,हराउनु
loss,घाटा
lot,धेरै
love,माया
low,कम
machine,मेसिन
magazine,पत्रिका
main,मुख्य
maintain,कायम राख्ने
major,प्रमुख
majority,बहुमत
make,बनाउन
man,मान्छे
manage,व्यवस्थापन गर्नुहोस्
management,व्यवस्थापन
manager,प्रबन्धक
many,धेरै
market,बजार
marriage,विवाह
material,सामग्री
matter,कुरा
may,सक्छ
maybe,हुनसक्छ
me,म
mean,अर्थ
measure,मापन
media,मिडिया
medical,चिकित्सा
meet,भेट्न
meeting,बैठक
member,सदस्य
memory,मेमोरी
mention,उल्लेख
message,सन्देश
method,विधि
middle,मध्य
might,सक्छ
military,सैन्य
million,मिलियन
mind,दिमाग
minute,मिनेट
miss,मिस
mission,मिशन
model,मोडेल
modern,आधुनिक
moment,क्षण
money,पैसा
month,महिना
more,थप
morning,बिहान
most,धेरैजसो
mother,आमा
mouth,मुख
move,चल्नु
movement,आन्दोलन
movie,चलचित्र
Mr,श्री
Mrs,श्रीमती
much,धेरै
music,संगीत
must,गर्नुपर्छ
my,मेरो
myself,आफैलाई
name,नाम
nation,राष्ट्र
national,राष्ट्रिय
natural,प्राकृतिक
nature,प्रकृति
near,नजिक
nearly,लगभग
necessary,आवश्यक
need,आवश्यकता
network,नेटवर्क
never,कहिल्यै
new,नयाँ
news,समाचार
newspaper,अखबार
next,अर्को
nice,राम्रो
night,रात
no,छैन
none,कुनै पनि
nor,न त
north,उत्तर
not,होइन
note,नोट
nothing,केहि छैन
notice,सूचना
now,अहिले
n't,होइन
number,संख्या
occur,उत्पन्न हुन्छ
of,को
off,बन्द
offer,प्रस्ताव
office,कार्यालय
officer,अधिकारी
official,आधिकारिक
often,अक्सर
oh,ओह
oil,तेल
ok,ठिक छ
old,पुरानो
on,मा
once,एक पटक
one,एउटा
only,मात्र
onto,मा
open,खोल्नुहोस्
operation,सञ्चालन
opportunity,अवसर
option,विकल्प
or,वा
order,आदेश
organization,संगठन
other,अन्य
others,अरू
our,हाम्रो
out,बाहिर
outside,बाहिर
over,माथि
own,आफ्नै
owner,मालिक
page,पृष्ठ
pain,दुखाइ
painting,चित्रकारी
paper,कागज
parent,अभिभावक
part,भाग
participant,सहभागी
particular,विशेष
particularly,खास गरी
partner,साथी
party,पार्टी
pass,पास
past,विगत
patient,बिरामी
pattern,ढाँचा
pay,भुक्तानी गर्नुहोस्
peace,शान्ति
people,मानिसहरू
per,प्रति
perform,प्रदर्शन
performance,प्रदर्शन
perhaps,सायद
period,अवधि
person,व्यक्ति
personal,व्यक्तिगत
phone,फोन
physical,शारीरिक
pick,छान्नुहोस्
picture,चित्र
piece,टुक्रा
place,ठाउँ
plan,योजना
plant,बिरुवा
play,खेल्नु
player,खेलाडी
PM,PM
point,बिन्दु
police,प्रहरी
policy,नीति
political,राजनीतिक
politics,राजनीति
poor,गरिब
popular,लोकप्रिय
population,जनसंख्या
position,स्थिति
positive,सकारात्मक
possible,सम्भव छ
power,शक्ति
practice,अभ्यास
prepare,तयारी
present,वर्तमान
president,राष्ट्रपति
pressure,दबाब
pretty,सुन्दर
prevent,रोक्न
price,मूल्य
private,निजी
probably,सायद
problem,समस्या
process,प्रक्रिया
produce,उत्पादन गर्न
product,उत्पादन
production,उत्पादन
professional,व्यावसायिक
professor,प्रोफेसर
program,कार्यक्रम
project,परियोजना
property,सम्पत्ति
protect,रक्षा गर्नुहोस्
prove,प्रमाणित
provide,प्रदान गर्नुहोस्
public,सार्वजनिक
pull,तान्नु
purpose,उद्देश्य
push,धक्का
put,राख्नु
quality,गुणस्तर
question,प्रश्न
quickly,छिटो
quite,एकदम
race,दौड
radio,रेडियो
raise,उठाउनु
range,दायरा
rate,दर
rather,बरु
reach,पुग्नु
read,पढ्नुहोस्
ready,तयार
real,वास्तविक
reality,वास्तविकता
realize,महसुस
really,साँच्चै
reason,कारण
receive,प्राप्त गर्नुहोस्
recent,भर्खरको
recently,हालै
recognize,पहिचान
record,रेकर्ड
red,रातो
reduce,घटाउने
reflect,प्रतिबिम्बित
region,क्षेत्र
relate,सम्बन्धित
relationship,सम्बन्ध
religious,धार्मिक
remain,रहन्छ
remember,सम्झनु
remove,हटाउन
report,रिपोर्ट
represent,प्रतिनिधित्व गर्दछ
Republican,रिपब्लिकन
require,आवश्यक छ
research,अनुसन्धान
resource,स्रोत
respond,प्रतिक्रिया दिनुहोस्
response,प्रतिक्रिया
responsibility,जिम्मेवारी
rest,विश्राम
result,परिणाम
return,फर्किनु
reveal,प्रकट गर्नुहोस्
rich,धनी
right,सही
rise,उठ्नु
risk,जोखिम
road,सडक
rock,चट्टान
role,भूमिका
room,कोठा
rule,नियम
run,दौडनु
safe,सुरक्षित
same,उस्तै
save,बचत गर्नुहोस्
say,भन्नुहोस्
scene,दृश्य
school,विद्यालय
science,विज्ञान
scientist,वैज्ञानिक
score,स्कोर
sea,समुद्र
season,सिजन
seat,सीट
second,दोस्रो
section,खण्ड
security,सुरक्षा
see,हेर्नुहोस्
seek,खोज्नुहोस्
seem,देखिन्छ
sell,बेच्नुहोस्
send,पठाउनुहोस्
senior,वरिष्ठ
sense,भावना
series,श्रृंखला
serious,गम्भीर
serve,सेवा गर्ने
service,सेवा
set,सेट
seven,सात
several,धेरै
sex,सेक्स
sexual,यौन
shake,हल्लाउनुहोस्
share,साझेदारी
she,उनी
shoot,गोली मार
short,छोटो
shot,गोली
should,गर्नुपर्छ
shoulder,काँध
show,देखाउनु
side,पक्ष
sign,चिन्ह
significant,महत्त्वपूर्ण
similar,समान
simple,सरल
simply,सरल रूपमा
since,देखि
sing,गाउनुहोस्
single,एकल
sister,बहिनी
sit,बस्नु
site,साइट
situation,स्थिति
six,छ
size,आकार
skill,कौशल
skin,छाला
small,सानो
smile,मुस्कान
so,त्यसैले
social,सामाजिक
society,समाज
soldier,सिपाही
some,केही
somebody,कोही
someone,कोही
something,केहि
sometimes,कहिलेकाहीँ
son,छोरा
song,गीत
soon,चाँडै
sort,क्रमबद्ध
sound,आवाज
source,मुहान
south,दक्षिण
southern,दक्षिणी
space,ठाउँ
speak,बोल्नुहोस्
special,विशेष
specific,विशिष्ट
speech,भाषण
spend,खर्च गर्नुहोस्
sport,खेलकुद
spring,वसन्त
staff,कर्मचारी
stage,चरण
stand,खडा
standard,मानक
star,तारा
start,सुरु
state,राज्य
statement,कथन
station,स्टेशन
stay,रहनु
step,कदम
still,अझै
stock,स्टक
stop,रोक
store,स्टोर
story,कथा
strategy,रणनीति
street,सडक
strong,बलियो
structure,संरचना
student,विद्यार्थी
study,अध्ययन
stuff,सामान
style,शैली
subject,विषय
success,सफलता
successful,सफल
such,यस्तो
suddenly,अचानक
suffer,भोग्नु
suggest,सुझाव
summer,गर्मी
support,समर्थन
sure,निश्चित
surface,सतह
system,प्रणाली
table,तालिका
take,लिनुहोस्
talk,कुरा
task,कार्य
tax,कर
teach,सिकाउनुहोस्
teacher,शिक्षक
team,टोली
technology,प्रविधि
television,टेलिभिजन
tell,बताउनुहोस्
ten,दस
tend,प्रवृत्ति
term,अवधि
test,परीक्षण
than,भन्दा
thank,धन्यवाद
that,त्यो
the,द
their,तिनीहरूको
them,उनीहरु
themselves,आफैलाई
then,त्यसपछि
theory,सिद्धान्त
there,त्यहाँ
these,यी
they,तिनीहरू
thing,कुरा
think,सोच्नुहोस्
third,तेस्रो
this,यो
those,ती
though,यद्यपि
thought,विचार
thousand,हजार
threat,खतरा
three,तीन
through,मार्फत
throughout,अवधिभर
throw,फाल्नु
thus,यसरी
time,समय
to,को
today,आज
together,सँगै
tonight,आज राति
too,पनि
top,शीर्ष
total,कुल
tough,कठिन
toward,तर्फ
town,सहर
trade,व्यापार
traditional,परम्परागत
training,प्रशिक्षण
travel,यात्रा
treat,उपचार
treatment,उपचार
tree,रूख
trial,परीक्षण
trip,यात्रा
trouble,समस्या
TRUE,सत्य
truth,सत्य
try,प्रयास गर्नुहोस्
turn,घुमाउनुहोस्
TV,टिभी
two,दुई
type,प्रकार
under,अन्तर्गत
understand,बुझ्नुहोस्
unit,एकाइ
until,सम्म
up,माथि
upon,मा
us,हामीलाई
use,प्रयोग गर्नुहोस्
usually,सामान्यतया
value,मूल्य
various,विभिन्न
very,धेरै
victim,पीडित
view,दृश्य
violence,हिंसा
visit,भ्रमण गर्नुहोस्
voice,आवाज
vote,भोट
wait,पर्खनुहोस्
walk,हिड्नु
wall,पर्खाल
want,चाहनुहुन्छ
war,युद्ध
watch,घडी
water,पानी
way,बाटो
we,हामी
weapon,हतियार
wear,लगाउनु
week,हप्ता
weight,वजन
well,राम्रो
west,पश्चिम
western,पश्चिमी
what,के
whatever,जे सुकै होस्
when,कहिले
where,कहाँ
whether,चाहे
which,जुन
while,जबकि
white,सेतो
who,WHO
whole,सम्पूर्ण
whom,कसलाई
whose,जसको
why,किन
wide,चौडा
wife,पत्नी
will,हुनेछ
win,जीत
wind,हावा
window,झ्याल
wish,इच्छा
with,संग
within,भित्र
without,बिना
woman,महिला
wonder,आश्चर्य
word,शब्द
work,काम
worker,कामदार
world,संसार
worry,चिन्ता
would,हुनेछ
write,लेख्नुहोस्
writer,लेखक
wrong,गलत
yard,यार्ड
yeah,हो
year,वर्ष
yes,हो
yet,अझै
you,तिमी
young,जवान
your,तिम्रो
yourself,आफैलाई